id,pvalue,qvalue,ppde,lsmM75,lsmD75,FC,direction,P1,P2,Descriptions
Ssc.29280.1.A1_at,0.000137281,0.067171926,0.881773068,3.17298512,0.80018843,10.72735145,DOWN,3,3,gb:CF794610  DB_XREF=gi:37799183  DB_XREF=890140  TID=Ssc.30988.2  CNT=4  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.30988  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.16579.1.S1_at,0.000162556,0.076003976,0.874697353,9.24256873,9.0632336,1.196421634,DOWN,0,0,"gb:BX667443  DB_XREF=gi:37857161  DB_XREF=BX667443  CLONE=scag0001c.b.09  TID=Ssc.14462.1  CNT=7  FEA=EST  TIER=ConsEnd  STK=4  UG=Ssc.14462  UG_TITLE=Transcribed locus, highly similar to NP_001816.1 creatine kinase, mitochondrial 2 (sarcomeric) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.29814.1.A1_at,0.000184461,0.084370875,0.869168796,6.13530562,5.21676534,2.505630201,DOWN,0,0,gb:BX917390  DB_XREF=gi:41134195  DB_XREF=BX917390  CLONE=scan0038d.m.10  TID=Ssc.25484.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.25484  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.19539.2.S1_at,0.000213666,0.090873429,0.862480754,6.66428445,5.6985409,2.626740043,DOWN,3,3,"gb:CN165668  DB_XREF=gi:46180098  DB_XREF=996103  TID=Ssc.13499.1  CNT=4  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.13499  UG_TITLE=Transcribed locus, highly similar to XP_355303.1 RIKEN cDNA 1700029F09 gene (Mus musculus)  REP_ORG=S. scrofa"
Ssc.13738.1.A1_at,0.000220273,0.090873429,0.861059362,3.65544216,0.63155998,20.57099718,DOWN,3,3,"gb:CB479235  DB_XREF=gi:29285621  DB_XREF=jns47_G02.f  TID=Ssc.5474.1  CNT=36  FEA=EST  TIER=Stack  STK=8  UG=Ssc.5474  UG_TITLE=Transcribed locus, highly similar to XP_290506.2 splicing factor 3b, subunit 2, 145kDa (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.13187.1.A1_at,0.000229157,0.090971024,0.859195426,6.23249737,5.51077217,2.057980578,DOWN,2,3,gb:CK453553  DB_XREF=gi:40800767  DB_XREF=909275  TID=Ssc.6355.1  CNT=22  FEA=EST  TIER=Stack  STK=11  UG=Ssc.6355  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.1502.1.S1_at,0.000248898,0.095329629,0.855231992,8.15810464,7.85767677,1.350436495,DOWN,3,3,"gb:CK450447  DB_XREF=gi:40797661  DB_XREF=899999  TID=Ssc.16963.1  CNT=23  FEA=EST  TIER=Stack  STK=6  UG=Ssc.16963  UG_TITLE=Transcribed locus, highly similar to NP_039663.1 glutaryl-Coenzyme A dehydrogenase (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.10142.1.A1_at,0.000249589,0.095329629,0.855097417,6.88343566,4.90148639,7.256874816,DOWN,0,0,gb:U37311.1  DB_XREF=gi:1244541  TID=Ssc.14484.1  CNT=24  FEA=FLmRNA  TIER=FL+Stack  STK=12  LL=403331  UG_GENE=CYP19A1  UG=Ssc.14484  DEF=Sus scrofa clone ARO33F cytochrome P450 aromatase mRNA complete cds.  PROD=cytochrome P450 aromatase  FL=gb:NM_214429.1 gb:U37312.1 gb:U37311.1  REP_ORG=S. scrofa
Ssc.9684.1.S1_at,0.000253729,0.095329629,0.854296709,8.46024553,7.33235705,3.089126856,DOWN,0,0,gb:BX921790  DB_XREF=gi:41138638  DB_XREF=BX921790  CLONE=scan0019d.j.19  TID=Ssc.26212.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.26212  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.30761.1.A1_at,0.000295392,0.105494926,0.846721019,5.20788556,4.43446035,2.16717659,DOWN,0,0,gb:CN166103  DB_XREF=gi:46180533  DB_XREF=996964  TID=Ssc.27055.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.27055  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.20.1.S1_at,0.000305855,0.105494926,0.844941536,7.96236108,7.06267636,2.45882777,DOWN,0,1,"gb:BI184626  DB_XREF=gi:14659035  DB_XREF=UNL-P-FN-cq-d-04-0-UNL.s1  CLONE=UNL-P-FN-cq-d-04-0-UNL  TID=Ssc.15685.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.15685  UG_TITLE=Transcribed locus, moderately similar to XP_231049.2 similar to NADPH-dependent FMN and FAD containing oxidoreductase (Rattus norvegicus)  REP_ORG=S. scrofa"
Ssc.6993.1.A1_at,0.000319956,0.108578639,0.842612077,7.49603402,6.9990418,1.64376973,DOWN,2,3,"gb:CF795827  DB_XREF=gi:37800400  DB_XREF=892022  TID=Ssc.14318.2  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.14318  UG_TITLE=Transcribed locus, highly similar to NP_789794.1 Bardet-Biedl syndrome 7 (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.25943.1.S1_at,0.000342759,0.109555302,0.83899873,3.04602404,1.11450634,6.89997439,DOWN,3,3,gb:BF713147  DB_XREF=gi:12012622  DB_XREF=MI-P-H3-adn-h-08-1-UM.s1  CLONE=MI-P-H3-adn-h-08-1-UM  TID=Ssc.7043.1  CNT=5  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.7043  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.3625.1.A1_at,0.000354451,0.109555302,0.837213849,6.57593043,6.20485796,1.449288099,DOWN,0,0,gb:CK463643  DB_XREF=gi:40834924  DB_XREF=934563  TID=Ssc.25117.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.25117  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.7043.1.A1_at,0.000358986,0.109555302,0.836533151,5.63495027,5.12172125,1.670677145,DOWN,0,0,"gb:CF175574  DB_XREF=gi:33287350  DB_XREF=799541  TID=Ssc.17867.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.17867  UG_TITLE=Transcribed locus, weakly similar to NP_080242.1 RIKEN cDNA 2310039H08 gene (Mus musculus)  REP_ORG=S. scrofa"
Ssc.1294.3.S1_at,0.000361343,0.109555302,0.836181857,6.80878656,6.03866509,2.160028617,DOWN,3,3,"gb:BX927003  DB_XREF=gi:41143851  DB_XREF=BX927003  CLONE=scan0013d.g.13  TID=Ssc.6701.1  CNT=27  FEA=EST  TIER=Stack  STK=14  UG=Ssc.6701  UG_TITLE=Transcribed locus, highly similar to XP_357233.1 similar to ribosomal protein L35a (Mus musculus)  REP_ORG=S. scrofa"
Ssc.30745.1.A1_a_at,0.00036449,0.109555302,0.835715429,3.83162436,1.31243388,12.41853954,DOWN,0,0,"gb:CK450780  DB_XREF=gi:40797994  DB_XREF=903878  TID=Ssc.23865.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.23865  UG_TITLE=Transcribed locus, highly similar to XP_240734.2 similar to mKIAA1294 protein (Rattus norvegicus)  REP_ORG=S. scrofa"
Ssc.22270.1.S1_at,0.000384877,0.112412708,0.832763363,6.06384516,5.42031803,1.903181825,DOWN,3,3,"gb:CN163023  DB_XREF=gi:46177453  DB_XREF=952481  TID=Ssc.26438.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.26438  UG_TITLE=Transcribed locus, highly similar to NP_114415.1 TatD DNase domain containing 1 (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.18586.2.S1_at,0.000390025,0.112412708,0.832036184,4.98496212,3.99415027,2.693420238,DOWN,3,3,"gb:CK451196  DB_XREF=gi:40798410  DB_XREF=904341  TID=Ssc.14389.1  CNT=6  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.14389  UG_TITLE=Transcribed locus, highly similar to XP_283206.2 RIKEN cDNA 4930487N19 gene (Mus musculus)  REP_ORG=S. scrofa"
Ssc.19539.1.A1_at,0.000400066,0.112992851,0.830637954,7.57452607,6.42106351,3.169147296,DOWN,2,3,gb:CN163673  DB_XREF=gi:46178103  DB_XREF=953217  TID=Ssc.29980.1  CNT=4  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.29980  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.17934.1.S1_at,0.000406343,0.112992851,0.82977697,6.4464613,4.30695421,8.495249203,DOWN,0,2,gb:BI184063  DB_XREF=gi:14658472  DB_XREF=UNL-P-FN-cg-d-10-0-UNL.s1  CLONE=UNL-P-FN-cg-d-10-0-UNL  TID=Ssc.6453.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=3  UG=Ssc.6453  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.18894.1.S1_a_at,0.000478099,0.122590837,0.820572189,5.54879594,5.04797395,1.65007706,DOWN,0,1,"gb:CK466237  DB_XREF=gi:40837514  DB_XREF=937424  TID=Ssc.22200.1  CNT=5  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.22200  UG_TITLE=Transcribed locus, highly similar to XP_218951.2 similar to UV radiation resistance-associated gene protein (p63) (Rattus norvegicus)  REP_ORG=S. scrofa"
Ssc.26633.1.A1_at,0.000498519,0.123202464,0.818142062,6.91714771,5.68445728,3.430446508,DOWN,3,3,gb:BQ604367  DB_XREF=gi:21551093  DB_XREF=MI-P-CP1-nzb-l-19-0-UI.s1  CLONE=MI-P-CP1-nzb-l-19-0-UI  TID=Ssc.12157.1  CNT=4  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.12157  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.8149.1.A1_at,0.000515165,0.123202464,0.81621547,6.19193087,5.576565,1.850333457,DOWN,0,1,gb:BF703115  DB_XREF=gi:11988523  DB_XREF=MI-P-O1-abd-f-08-1-UM.s1  CLONE=MI-P-O1-abd-f-08-1-UM  TID=Ssc.8490.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.8490  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.670.1.S1_at,0.000521151,0.123202464,0.815534036,8.47973304,6.7375928,5.709550163,DOWN,0,1,gb:BI403257  DB_XREF=gi:15182318  DB_XREF=MI-P-CP1-nwn-e-05-0-UI.s1  CLONE=MI-P-CP1-nwn-e-05-0-UI  TID=Ssc.12678.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.12678  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.31082.1.A1_at,0.000592831,0.132693264,0.807797783,6.84707869,5.3557495,4.442997183,DOWN,0,1,gb:CF360037  DB_XREF=gi:34157349  DB_XREF=821335  TID=Ssc.18427.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.18427  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.3001.1.S1_at,0.000622751,0.135079213,0.804776314,6.1764867,5.42470186,2.120781897,DOWN,0,0,gb:BI344716  DB_XREF=gi:15038005  DB_XREF=373256  TID=Ssc.24098.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.24098  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.14361.1.A1_at,0.000647751,0.138876652,0.802334751,5.34202089,4.28899121,2.866322015,DOWN,3,3,"gb:BX925271  DB_XREF=gi:41142119  DB_XREF=BX925271  CLONE=scan0025d.m.09  TID=Ssc.5338.1  CNT=21  FEA=EST  TIER=Stack  STK=7  UG=Ssc.5338  UG_TITLE=Transcribed locus, highly similar to NP_002259.1 karyopherin alpha 4 (importin alpha 3) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.1644.1.S1_a_at,0.00066006,0.138876652,0.801158769,5.07920529,4.10840527,2.640055712,DOWN,1,3,gb:CN153276  DB_XREF=gi:46167706  DB_XREF=940377  TID=Ssc.12057.1  CNT=10  FEA=EST  TIER=ConsEnd  STK=4  UG=Ssc.12057  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.9086.1.A1_at,0.000680146,0.140127642,0.799275029,6.65401873,6.25693538,1.487479906,DOWN,0,0,"gb:BI403262  DB_XREF=gi:15182323  DB_XREF=MI-P-CP1-nwn-e-10-0-UI.s1  CLONE=MI-P-CP1-nwn-e-10-0-UI  TID=Ssc.12679.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.12679  UG_TITLE=Transcribed locus, highly similar to NP_598713.1 expressed sequence AW538196 (Mus musculus)  REP_ORG=S. scrofa"
Ssc.1111.1.S1_at,0.000683886,0.140127642,0.798928957,8.93664536,8.68060105,1.291809967,DOWN,3,3,"gb:AF148221.1  DB_XREF=gi:5020100  TID=Ssc.508.1  CNT=2  FEA=FLmRNA  TIER=FL  STK=1  LL=397406  UG_GENE=FCER1G  UG=Ssc.508  DEF=Sus scrofa Fc epsilon receptor gamma chain mRNA, complete cds.  PROD=Fc epsilon receptor gamma chain  FL=gb:AF148221.1  REP_ORG=S. scrofa"
Ssc.9723.1.A1_at,0.000689339,0.140127642,0.798426947,6.51272169,5.6123572,2.460499775,DOWN,3,2,gb:BX674432  DB_XREF=gi:38008384  DB_XREF=BX674432  CLONE=scac0042i.j.14  TID=Ssc.23126.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.23126  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.19241.1.S1_at,0.000692646,0.140127642,0.79812397,7.51376125,7.06951316,1.559317289,DOWN,3,3,gb:CN031624  DB_XREF=gi:48726160  DB_XREF=UMC-pgvo2-003-a04  TID=Ssc.15271.1  CNT=4  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.15271  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.907.1.A1_at,0.000700196,0.14030597,0.797436364,8.34196369,7.78806917,1.740016368,DOWN,0,0,gb:BI402964  DB_XREF=gi:15182025  DB_XREF=MI-P-CP1-nwf-b-12-0-UI.s1  CLONE=MI-P-CP1-nwf-b-12-0-UI  TID=Ssc.12602.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.12602  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.11752.1.A1_s_at,0.000714,0.140411109,0.796193644,5.42858368,4.62695888,2.229159927,DOWN,0,0,gb:BP156382  DB_XREF=gi:40405855  DB_XREF=BP156382  CLONE=PBL010035G11  TID=Ssc.15859.1  CNT=2  FEA=mRNA  TIER=ConsEnd  STK=0  UG=Ssc.15859  UG_TITLE=Rearranged T-cell receptor delta-chain Vdelta1.1-Ddeltas-Jdelta1  REP_ORG=S. scrofa
Ssc.24461.1.S1_a_at,0.000720496,0.140411109,0.79561516,6.489886,5.84915278,1.897871927,DOWN,3,3,"gb:BI405218  DB_XREF=gi:15184431  DB_XREF=MI-P-NA-aek-g-02-1-UM.s1.ab1  CLONE=MI-P-NA-aek-g-02-1-UM.ab1  TID=Ssc.4863.1  CNT=11  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.4863  UG_TITLE=Transcribed locus, highly similar to NP_003789.1 catenin (cadherin-associated protein), alpha-like 1 (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.4025.1.S1_at,0.000736686,0.140411109,0.79419052,6.70271117,6.21088451,1.635300632,DOWN,3,3,gb:CN162252  DB_XREF=gi:46176682  DB_XREF=951622  TID=Ssc.26942.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.26942  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.29090.1.A1_at,0.000785674,0.141434831,0.790020699,7.49122189,7.02651698,1.591544471,DOWN,1,2,"gb:AJ667111  DB_XREF=gi:49351562  DB_XREF=AJ667111  CLONE=C0000038_N14  TID=Ssc.2862.2  CNT=4  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.2862  UG_TITLE=Transcribed locus, highly similar to NP_001713.1 polymerase (RNA) III (DNA directed) polypeptide D, 44kDa (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.3361.1.S1_at,0.000809384,0.142408568,0.788073701,6.43104285,5.96436834,1.594682266,DOWN,0,0,gb:CK457838  DB_XREF=gi:40829119  DB_XREF=922171  TID=Ssc.24496.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.24496  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.569.1.S1_at,0.000812216,0.142408568,0.787844082,7.68342173,6.88146404,2.229902115,DOWN,0,0,gb:CO954154  DB_XREF=gi:51331217  DB_XREF=UMC-pnatal4-006-c05  TID=Ssc.29344.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.29344  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.9402.1.A1_at,0.000858883,0.145733081,0.784146106,7.1875018,6.7710648,1.516548456,DOWN,0,0,gb:BI403148  DB_XREF=gi:15182209  DB_XREF=MI-P-CP1-nwl-c-06-0-UI.s1  CLONE=MI-P-CP1-nwl-c-06-0-UI  TID=Ssc.12653.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.12653  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.18037.1.S1_at,0.000906764,0.147893941,0.780509446,2.9590027,1.17750711,5.938731688,DOWN,2,3,gb:BI400555  DB_XREF=gi:15179616  DB_XREF=MI-P-AY1-nqe-f-08-0-UI.s1  CLONE=MI-P-AY1-nqe-f-08-0-UI  TID=Ssc.3696.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=3  UG=Ssc.3696  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.31158.1.A1_at,0.000925766,0.148687944,0.779107254,5.97149554,5.02907509,2.56618523,DOWN,1,1,"gb:CF365331  DB_XREF=gi:34167805  DB_XREF=835951  TID=Ssc.19468.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.19468  UG_TITLE=Transcribed locus, highly similar to NP_001964.2 ELK4, ETS-domain protein (SRF accessory protein 1) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.20303.1.S1_at,0.000989926,0.154281832,0.77453166,5.66791374,5.1402142,1.695028475,DOWN,3,1,"gb:BI343867  DB_XREF=gi:15037156  DB_XREF=372162  TID=Ssc.2353.1  CNT=17  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.2353  UG_TITLE=Transcribed locus, moderately similar to NP_849213.1 expressed sequence AI325464 (Mus musculus)  REP_ORG=S. scrofa"
Ssc.4316.1.A1_at,0.001019349,0.15506707,0.772510026,5.99574089,5.62485746,1.449014152,DOWN,0,0,"gb:CN070277  DB_XREF=gi:45846334  DB_XREF=857489  TID=Ssc.26507.2  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.26507  UG_TITLE=Transcribed locus, highly similar to NP_766161.1 RIKEN cDNA D230014K01 gene (Mus musculus)  REP_ORG=S. scrofa"
Ssc.15988.1.S1_at,0.001039185,0.15506707,0.771172584,4.17077258,3.2517823,2.506757988,DOWN,3,3,"gb:CF359929  DB_XREF=gi:34157140  DB_XREF=821212  TID=Ssc.19172.1  CNT=10  FEA=EST  TIER=ConsEnd  STK=5  UG=Ssc.19172  UG_TITLE=Transcribed locus, moderately similar to NP_009185.2 polynucleotide kinase 3-phosphatase (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.28305.1.A1_at,0.001052793,0.155103527,0.770266521,6.15569997,3.52786903,13.84370948,DOWN,1,3,"gb:BP150639  DB_XREF=gi:40400112  DB_XREF=BP150639  CLONE=OVRM10059E08  TID=Ssc.18585.2  CNT=8  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.18585  UG_TITLE=Transcribed locus, moderately similar to NP_000172.1 glucuronidase, beta (Homo sapiens)  REP_ORG=S. scrofa"
